43,35-44,"Accounting, Banking & Finance", Analyst,65300,2500,USD,United States,Houston,8 - 10 years,2 - 4 years,College degree,Woman
44,25-34,Education (Higher Education),Academic Advisor,64000,1000,CAD,Canada,Toronto,11 - 20 years,2 - 4 years,College degree,Man
45,25-34,"Accounting, Banking & Finance",Actuarial Analyst,73000,5500,CAD,Canada,Montreal,5-7 years,5-7 years,College degree,Man
46,25-34,Education (Higher Education),Academic Advisor,42000,0,USD,United States,Denver,5-7 years,5-7 years,Master's degree,Man
47,35-44,Education (Higher Education),Academic Advisor,48000,0,USD,United States,"Bloomington, IL",11 - 20 years,11 - 20 years,Master's degree,Man
48,35-44,Computing or Tech,Application Developer,65000,0,CAD,Canada,Kitchener,11 - 20 years,5-7 years,College degree,Man
49,18-24,Computing or Tech,Application Development Analyst,58000,1500,CAD,Canada,Edmonton,2 - 4 years,2 - 4 years,College degree,Man
50,25-34,Property or Construction,Architectural Technologist,47775,0,CAD,Canada,Ottawa,8 - 10 years,2 - 4 years,College degree,Man
51,25-34,Retail,Assistant Store Manager,60000,0,CAD,Canada,Owen Sound,11 - 20 years,11 - 20 years,College degree,Man
52,25-34,SAAS,Assistant Team Lead,81000,6500,CAD,Canada,Vancouver,5-7 years,5-7 years,College degree,Man
53,25-34,Business or Consulting,Associate Consultand,52500,0,CAD,Canada,Ottawa,5-7 years,2 - 4 years,College degree,Man
54,25-34,Hospitality & Events,Baker,43000,0,CAD,Canada,vancouver,5-7 years,2 - 4 years,College degree,Man
55,25-34,Health Care,Biomedical engineering technologist,65000,8000,CAD,Canada,Calgary,2 - 4 years,2 - 4 years,College degree,Man
56,18-24,"Accounting, Banking & Finance",Bookkeeper,40000,0,CAD,Canada,Edmonton,2 - 4 years,1 year or less,College degree,Man
57,45-54,"Accounting, Banking & Finance",Business Analyst,90000,10000,CAD,Canada,Toronto,11 - 20 years,11 - 20 years,College degree,Man
58,35-44,Education (Higher Education),Academic Advisor,52000,0,USD,United States,Lexington ,5-7 years,8 - 10 years,Master's degree,Man
59,18-24,Law Enforcement & Security,Bylaw Enforcement Officer,75000,1500,CAD,Canada,Chilliwack,8 - 10 years,5-7 years,College degree,Man
60,45-54,Government and Public Administration,Case Officer,70000,10000,CAD,Canada,Ottawa,11 - 20 years,8 - 10 years,College degree,Man
61,25-34,Retail,Chef and Recipe Developer,82500,8250,CAD,Canada,Toronto,8 - 10 years,5-7 years,College degree,Man
62,18-24,Computing or Tech,Cloud Developer/Technical Support Specialist,65000,0,CAD,Canada,Montreal,2 - 4 years,2 - 4 years,College degree,Man
63,18-24,Education (Higher Education),Clubs coordinator ,37500,400,CAD,Canada,Calgary,1 year or less,1 year or less,College degree,Man
64,35-44,"Marketing, Advertising & PR",Communications Specialist,65000,0,CAD,Canada,"Toronto, Ontario",21 - 30 years,5-7 years,College degree,Man
65,25-34,Government and Public Administration,Communications Team Lead,102000,20000,CAD,Canada,Ottawa,8 - 10 years,8 - 10 years,College degree,Man
66,35-44,Insurance,Contract Writer,60000,0,CAD,Canada,Toronto,11 - 20 years,5-7 years,College degree,Man
67,25-34,Engineering or Manufacturing,Controls System Designer,68000,0,CAD,Canada,Ontario,5-7 years,5-7 years,College degree,Man
68,35-44,"Marketing, Advertising & PR",Copywriter,85000,0,CAD,Canada,Toronto,21 - 30 years,11 - 20 years,College degree,Man
69,35-44,"Accounting, Banking & Finance",Credit Analyst,82000,5000,CAD,Canada,Toronto,8 - 10 years,2 - 4 years,College degree,Man
70,25-34,Computing or Tech,Customer Success Engineer,70000,0,CAD,Canada,Ontario,2 - 4 years,2 - 4 years,College degree,Man
71,25-34,Mining & Mineral Processing,Customer Support Technician,55000,5000,CAD,Canada,Burlington,2 - 4 years,1 year or less,College degree,Man
72,35-44,Education (Higher Education),Academic Advisor,63000,0,CAD,Canada,Montréal ,11 - 20 years,5-7 years,Master's degree,Woman
73,35-44,Computing or Tech,Devop,90000,0,CAD,Canada,Toronto,21 - 30 years,21 - 30 years,College degree,Man
74,25-34,Computing or Tech,DevOps Engineer,92352,0,CAD,Canada,Vancouver,5-7 years,5-7 years,College degree,Man
75,25-34,Entertainment,Digital Imaging Technician,104000,158000,CAD,Canada,Toronto,11 - 20 years,11 - 20 years,College degree,Man
76,25-34,Agriculture or Forestry,Digital Product Manager,130000,18000,USD,Canada,Remote,8 - 10 years,5-7 years,College degree,Man
77,25-34,Nonprofits,Director of Communications and Research,90000,0,CAD,Canada,"Vancouver, British Columbia",8 - 10 years,8 - 10 years,College degree,Man
78,25-34,Computing or Tech,Director of Customer Success,123600,0,CAD,Canada,N/A,5-7 years,5-7 years,College degree,Man
79,35-44,Engineering or Manufacturing,Director of Information Systems,115000,3000,CAD,Canada,Vancouver,21 - 30 years,21 - 30 years,College degree,Man
80,25-34,Agriculture or Forestry,Director of Operations,90000,0,CAD,Canada,Montreal,11 - 20 years,11 - 20 years,College degree,Man
81,45-54,Retail,"Director, IT",165000,100000,CAD,Canada,Toronto,21 - 30 years,21 - 30 years,College degree,Man
82,35-44,Computing or Tech,Documentation Team Lead,89500,0,CAD,Canada,Vancouver,21 - 30 years,11 - 20 years,College degree,Man
83,35-44,Sales,Electrical cable and wire sales ,62000,30000,CAD,Canada,Winnipeg,11 - 20 years,2 - 4 years,College degree,Man
84,25-34,Engineering or Manufacturing,Electrical engineer,121000,6000,CAD,Canada,Sarnia ,5-7 years,5-7 years,College degree,Man
85,35-44,Computing or Tech,Engineering Mamager,165000,0,CAD,Canada,Toronto,11 - 20 years,8 - 10 years,College degree,Man
86,25-34,Engineering or Manufacturing,Engineering Mamager,97500,15000,CAD,Canada,Toronto,5-7 years,5-7 years,College degree,Man
87,25-34,Engineering or Manufacturing,Engineering Mamager,110000,0,CAD,Canada,Toronto,11 - 20 years,11 - 20 years,College degree,Man
88,25-34,Soldier,Engineering Officer,90000,0,CAD,Canada,Toronto,5-7 years,2 - 4 years,College degree,Man
89,45-54,Transport or Logistics,Enterprise Architect,170000,40000,CAD,Canada,Calgary,21 - 30 years,11 - 20 years,College degree,Man
90,35-44,Engineering or Manufacturing,Environmental Technologist,73000,0,CAD,Canada,Halifax,11 - 20 years,11 - 20 years,College degree,Man
91,35-44,Entertainment,Film Post-Production Manager,100000,0,CAD,Canada,Toronto,21 - 30 years,21 - 30 years,College degree,Man
92,35-44,Government and Public Administration,Finance Manager,94000,0,CAD,Canada,Regina,8 - 10 years,11 - 20 years,College degree,Man
93,25-34,Media & Digital,Freelance videographer ,110000,0,CAD,Canada,Toronto,8 - 10 years,5-7 years,College degree,Man
94,25-34,Hospitality & Events,Front Office Manager,49000,2000,USD,Canada,Calgary,11 - 20 years,11 - 20 years,College degree,Man
95,35-44,Nonprofits,fundraising and communications manager,50300,0,CAD,Canada,Victoria,11 - 20 years,5-7 years,College degree,Man
96,45-54,Utilities & Telecommunications,General Manager,144000,37000,CAD,Canada,Iqaluit,11 - 20 years,5-7 years,College degree,Man
97,25-34,Computing or Tech,GIS Analyst,65000,0,CAD,Canada,Toronto,5-7 years,2 - 4 years,College degree,Man
98,25-34,Business or Consulting,Groundwater manager,110000,11000,CAD,Canada,Vancouver,8 - 10 years,8 - 10 years,College degree,Man
99,35-44,Computing or Tech,Head of Engineering,175000,0,CAD,Canada,"Toronto, for a global remote company",11 - 20 years,11 - 20 years,College degree,Man
100,35-44,Oil & Gas,Health and Safety Advisor,125000,40000,CAD,Canada,Calgary,11 - 20 years,8 - 10 years,College degree,Man
101,18-24,Health Care,Health Informatics,35000,1700,CAD,Canada,Toronto,1 year or less,1 year or less,College degree,Man
102,25-34,Computing or Tech,Helpdesk Analyst,47840,390,CAD,Canada,Edmonton,5-7 years,2 - 4 years,College degree,Man
103,25-34,Education (Primary/Secondary),High School Teacher,61500,0,CAD,Canada,"Guelph, Ontario",2 - 4 years,2 - 4 years,College degree,Man
104,35-44,Education (Primary/Secondary),High School Teacher,77000,0,CAD,Canada,Langley,11 - 20 years,8 - 10 years,College degree,Man
105,25-34,Government and Public Administration,"HR Officer, Systems and Reporting",64304,0,CAD,Canada,Ottawa,8 - 10 years,5-7 years,College degree,Man
106,35-44,Government and Public Administration,Human Resources Consultant,85500,0,CAD,Canada,Regina,11 - 20 years,8 - 10 years,College degree,Man
107,45-54,Entertainment,Illustrator ,83000,62400,CAD,Canada,Vancouver,21 - 30 years,2 - 4 years,College degree,Man
108,45-54,Government and Public Administration,Information Security Advisor,117800,0,CAD,Canada,Calgary,31 - 40 years,11 - 20 years,College degree,Man
109,55-64,Training,Instructional Systems Designer,88700,7500,CAD,Canada,Montreal,31 - 40 years,21 - 30 years,College degree,Man
110,25-34,Computing or Tech,iOS Developer,120000,0,CAD,Canada,"Kitchener, ON",8 - 10 years,2 - 4 years,College degree,Man
111,25-34,Computing or Tech,IT Technical Consultant,93300,10000,CAD,Canada,Toronto,5-7 years,5-7 years,College degree,Man
112,25-34,Art & Design,Junior Animator,55000,0,CAD,Canada,Vancouver,2 - 4 years,1 year or less,College degree,Man
113,25-34,"Accounting, Banking & Finance",Legislative Auditor,78900,0,CAD,Canada,Edmonton,5-7 years,5-7 years,College degree,Man
114,25-34,"Accounting, Banking & Finance",Licensed assistant,80000,5000,CAD,Canada,Toronto,8 - 10 years,8 - 10 years,College degree,Man
115,45-54,"Marketing, Advertising & PR",Manager - Marketing & Communication,86500,15000,CAD,Canada,Edmonton,21 - 30 years,11 - 20 years,College degree,Man
116,45-54,"Leisure, Sport & Tourism",Manager media relations,57200,0,CAD,Canada,St John’s,11 - 20 years,11 - 20 years,College degree,Man
117,35-44,Government and Public Administration,Manager of Business Development,117600,15000,CAD,Canada,Ottawa,11 - 20 years,11 - 20 years,College degree,Man
118,35-44,Education (Higher Education),"Manager, Access Services",53000,0,CAD,Canada,Halifax,11 - 20 years,8 - 10 years,College degree,Man
119,35-44,Computing or Tech,"Manager, Developer Evangelism",250000,40000,CAD,Canada,Ottawa,21 - 30 years,21 - 30 years,College degree,Man
120,25-34,"Accounting, Banking & Finance","Manager, Learning Delivery",53000,9000,CAD,Canada,Montreal,2 - 4 years,2 - 4 years,College degree,Man
121,25-34,Engineering or Manufacturing,Manufacturing Engineer,61500,0,CAD,Canada,L'Islet,2 - 4 years,1 year or less,College degree,Man
122,65 or over,Media & Digital,Media coordinator,72000,0,CAD,Canada,Barrie,31 - 40 years,21 - 30 years,College degree,Man
123,25-34,Nonprofits,Mental Health Peer Support Worker,36672,0,CAD,Canada,"Hamilton, Ontario",5-7 years,2 - 4 years,College degree,Man
124,25-34,Art & Design,Multimedia Designer,59000,0,CAD,Canada,Toronto,8 - 10 years,8 - 10 years,College degree,Man
125,45-54,Engineering or Manufacturing,OPerations/Regulatory Manager ,72000,15000,CAD,Canada,Toronto,11 - 20 years,5-7 years,College degree,Man
126,35-44,Property or Construction,Owner/Operator,150000,0,CAD,Canada,Truro,21 - 30 years,11 - 20 years,College degree,Man
127,35-44,Government and Public Administration,Payment Services Officer,58000,10000,CAD,Canada,Edmonton,11 - 20 years,1 year or less,College degree,Man
128,25-34,Child and Yout Care,Peer Support Worker,36672,0,CAD,Canada,"Hamilton, Ontario",2 - 4 years,2 - 4 years,College degree,Man
129,35-44,Education (Higher Education),Photo editor,67500,0,CAD,Canada,Toronto,21 - 30 years,2 - 4 years,College degree,Man
130,35-44,Computing or Tech,President & Co-Founder,170000,0,CAD,Canada,Waterloo,11 - 20 years,11 - 20 years,College degree,Man
131,35-44,Computing or Tech,Product Education Manager,90000,5000,CAD,Canada,Toronto,11 - 20 years,11 - 20 years,College degree,Man
132,25-34,Computing or Tech,Product Manager,92000,0,CAD,Canada,Toronto,11 - 20 years,5-7 years,College degree,Man
133,25-34,Computing or Tech,Product Manager,110000,10000,CAD,Canada,Winnipeg,11 - 20 years,5-7 years,College degree,Man
134,25-34,Computing or Tech,Product Manager,125000,15000,CAD,Canada,Calgary,8 - 10 years,8 - 10 years,College degree,Man
135,25-34,Engineering or Manufacturing,Product Manager,90000,10000,CAD,Canada,Vancouver,5-7 years,5-7 years,College degree,Man
136,35-44,Art & Design,Production Coordinator,54000,0,CAD,Canada,Toronto,11 - 20 years,11 - 20 years,College degree,Man
137,25-34,Engineering - Mining,Project Estimator / Senior Mining Engineer,127000,19000,CAD,Canada,Toronto,8 - 10 years,8 - 10 years,College degree,Man
138,25-34,Engineering or Manufacturing,Project Manager,97500,2500,CAD,Canada,Ottawa,8 - 10 years,8 - 10 years,College degree,Man
139,35-44,Entertainment,Project Manager,72000,2000,CAD,Canada,Nanaimo,8 - 10 years,5-7 years,College degree,Man
140,25-34,Utilities & Telecommunications,Project Manager,90000,0,CAD,Canada,Edmonton,2 - 4 years,2 - 4 years,College degree,Man
141,25-34,Sales,Realtor,600000,0,CAD,Canada,Toronto,8 - 10 years,2 - 4 years,College degree,Man
142,25-34,Engineering or Manufacturing,Reliability engineer in training,88000,12000,CAD,Canada,Edmonton,2 - 4 years,2 - 4 years,College degree,Man
143,25-34,Computing or Tech,"Senior Advisor, System Architecture ",92000,20000,CAD,Canada,Ottawa,8 - 10 years,8 - 10 years,College degree,Man
144,25-34,Government and Public Administration,Senior Analyst,83000,0,CAD,Canada,Edmonton,5-7 years,2 - 4 years,College degree,Man
145,35-44,Computing or Tech,Senior Developer,140000,12000,CAD,Canada,N/A,8 - 10 years,8 - 10 years,College degree,Man
146,35-44,Computing or Tech,Senior Engineering Director,165000,15000,CAD,Canada,Kitchener,11 - 20 years,8 - 10 years,College degree,Man
147,35-44,Computing or Tech,Senior Financial Services Support,59300,40000,CAD,Canada,Toronto,11 - 20 years,8 - 10 years,College degree,Man
148,45-54,Computing or Tech,Senior Frontend Developer,125000,2500,USD,Canada,Salmon Arm,21 - 30 years,11 - 20 years,College degree,Man
149,35-44,Computing or Tech,Senior Manager Customer Support,120000,0,CAD,Canada,"Waterloo, ON, Canada",11 - 20 years,11 - 20 years,College degree,Man
150,25-34,Utilities & Telecommunications,"Senior Manager, Network",87000,15000,CAD,Canada,GTA,5-7 years,5-7 years,College degree,Man
151,35-44,Media & Digital,"Senior Manager, UX and Design",109000,14000,CAD,Canada,Ottawa,11 - 20 years,11 - 20 years,College degree,Man
152,45-54,Computing or Tech,Senior Marketing Manager,150000,0,CAD,Canada,Vancouver ,21 - 30 years,21 - 30 years,College degree,Man
153,35-44,Government and Public Administration,Senior Policy Analist,98000,0,CAD,Canada,Ottawa,8 - 10 years,2 - 4 years,College degree,Man
154,25-34,Computing or Tech,Senior Production Engineer,128000,150000,CAD,Canada,Toronto,11 - 20 years,5-7 years,College degree,Man
155,35-44,Sales,Senior Sales Engineer,165000,42000,CAD,Canada,Gatineau,11 - 20 years,11 - 20 years,College degree,Man
156,25-34,Computing or Tech,Senior Security Engineer,135000,0,CAD,Canada,"Calgary, Alberta",5-7 years,2 - 4 years,College degree,Man
157,35-44,Computing or Tech,Senior Sitecore software developer ,126000,18900,CAD,Canada,Quebec City,11 - 20 years,11 - 20 years,College degree,Man
158,35-44,Computing or Tech,Senior Software Architect,155000,0,CAD,Canada,Ottawa,11 - 20 years,11 - 20 years,College degree,Man
159,45-54,Computing or Tech,Senior Software Designer,105000,5000,CAD,Canada,Home (near Montreal),21 - 30 years,21 - 30 years,College degree,Man
160,35-44,Computing or Tech,Senior Software Developer,132500,0,CAD,Canada,"Vancouver, BC",11 - 20 years,11 - 20 years,College degree,Man
161,25-34,Computing or Tech,Senior Software Development Manager,180000,0,CAD,Canada,Vancouver,11 - 20 years,11 - 20 years,College degree,Man
162,45-54,Computing or Tech,Senior Software Engineer,150000,0,CAD,Canada,Hamilton,21 - 30 years,21 - 30 years,College degree,Man
163,25-34,Utilities & Telecommunications,Senior Technician (Field service and remote),66000,7000,CAD,Canada,Vancouver,5-7 years,5-7 years,College degree,Man
164,35-44,Computing or Tech,Service Desk Lead,48000,0,CAD,Canada,Winnipeg,5-7 years,5-7 years,College degree,Man
165,35-44,Utilities & Telecommunications,Shift Control Technician,150000,20000,CAD,Canada,Kincardine ,11 - 20 years,11 - 20 years,College degree,Man
